ownership_type,energy_footprint,core_reactor_size,harvesting_space,vertical_alignment,power_chambers,energy_flow_design,upper_collector_height,shared_conversion_units,isolated_conversion_units,internal_collectors,external_collectors,ambient_harvesters,shielded_harvesters,efficiency_grade,grid_connections,error
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9966280131672484
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8946103839883293
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.8924749612538907
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9611294638405836
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.9858962270184908
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.8712729925628659
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.888211755341574
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.9657468469991703
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.961487215341484
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.8767301433924032
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.9245237713303682
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.8707383715849565
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.9542651494322228
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0.8918087276133887
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.9192103600441324
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9132669181242564
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.9071464459185616
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.8196131185267791
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.8677902618637473
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.8815168343389876
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.8769290439926848
0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0.8684196803937074
0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1.0161387329398917
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.8868375996255516
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0.93209137450457
0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0.9944768790401664
0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1.0943940094905504
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.9144671321015873
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0.9341558590903228
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1.0496667840864713
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1.0704979529166996
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0031025261219686
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.9960931734182328
